554039465,76031150496,G39253,Compatible,4131,0.09%,1.17%,1,,
554031091,76031150489,G39253,Compatible,3160,0.07%,1.17%,1,,
550228192,651080188517,G39253,Compatible,2369,0.05%,1.17%,1,,
551854462,12044023365,G39253,Compatible,2095,0.05%,1.17%,1,,
551854463,12044023358,G39253,Compatible,1593,0.04%,1.17%,1,,
295355,381519022425,G39253,Compatible,1567,0.04%,1.17%,1,,
554123158,37000548256,G39253,Compatible,1492,0.03%,1.17%,1,,
4464716,73650814631,G39253,Compatible,1476,0.03%,1.17%,1,,
553988265,301490039083,G39253,Compatible,1474,0.03%,1.17%,1,,
4464709,73650814648,G39253,Compatible,1286,0.03%,1.17%,1,,
556045130,301490039045,G39253,Compatible,1246,0.03%,1.17%,1,,
552918694,73650828706,G39253,Compatible,1193,0.03%,1.17%,1,,
554931472,840040172172,G39253,Compatible,1175,0.03%,1.17%,1,,
4468647,73650912085,G39253,Compatible,1174,0.03%,1.17%,1,,
551398398,37000574682,G39253,Compatible,1163,0.03%,1.17%,1,,
550780700,73650815621,G39253,Compatible,1093,0.03%,1.17%,1,,
553338997,885306348663,G39253,Compatible,1075,0.02%,1.17%,1,,
4422216,73650876493,G39253,Compatible,1064,0.02%,1.17%,1,,
556535956,75609195495,G39253,Compatible,1023,0.02%,1.17%,1,,
557004399,883096566809,G39253,Compatible,1009,0.02%,1.17%,1,,
562911394,885306592066,G39253,Compatible,988,0.02%,1.17%,1,,
562911438,885306587840,G39253,Compatible,975,0.02%,1.17%,1,,
550780682,73650814662,G39253,Compatible,935,0.02%,1.17%,1,,
552638415,885306272913,G39253,Compatible,907,0.02%,1.17%,1,,
557004407,883096566793,G39253,Compatible,893,0.02%,1.17%,1,,
557004403,883096566823,G39253,Compatible,868,0.02%,1.17%,1,,
550569099,73650824425,G39253,Compatible,853,0.02%,1.17%,1,,
553338998,885306348656,G39253,Compatible,797,0.02%,1.17%,1,,
555316140,73650016011,G39253,Compatible,795,0.02%,1.17%,1,,
4422252,73650909313,G39253,Compatible,784,0.02%,1.17%,1,,
557004405,883096566670,G39253,Compatible,761,0.02%,1.17%,1,,
555282456,73650011825,G39253,Compatible,695,0.02%,1.17%,1,,
552918700,73650814686,G39253,Compatible,664,0.02%,1.17%,1,,
552918699,73650815607,G39253,Compatible,620,0.01%,1.17%,1,,
4462714,73650906350,G39253,Compatible,604,0.01%,1.17%,1,,
550780689,73650814747,G39253,Compatible,603,0.01%,1.17%,1,,
4468804,73650851759,G39253,Compatible,593,0.01%,1.17%,1,,
4424331,73650771675,G39253,Compatible,579,0.01%,1.17%,1,,
551283454,73650815584,G39253,Compatible,573,0.01%,1.17%,1,,
550559442,43935516376,G39253,Compatible,545,0.01%,1.17%,1,,
556151220,42825662278,G39253,Compatible,539,0.01%,1.17%,1,,
555282457,73650013508,G39253,Compatible,539,0.01%,1.17%,1,,
552918698,73650814730,G39253,Compatible,512,0.01%,1.17%,1,,
4424338,73650771699,G39253,Compatible,497,0.01%,1.17%,1,,
555282455,73650011832,G39253,Compatible,490,0.01%,1.17%,1,,
4423777,73650900549,G39253,Compatible,476,0.01%,1.17%,1,,
557004400,883096566700,G39253,Compatible,467,0.01%,1.17%,1,,
564601447,37000733454,G39253,Compatible,274,0.01%,1.17%,1,,
555316141,73650015991,G39253,Compatible,186,0.00%,1.17%,1,,
2476742,885306012762,G39253,Compatible,71,0.00%,1.17%,1,,
553975207,885306376833,G39253,Compatible,57,0.00%,1.17%,1,,
4468573,73650846434,G39253,Compatible,51,0.00%,1.17%,1,,
555282402,73650011719,G39253,Compatible,50,0.00%,1.17%,1,,
550388813,41457109397,G39336,Compatible,3972,0.09%,0.99%,1,,
550425421,41457109380,G39336,Compatible,3625,0.08%,0.99%,1,,
563410358,11017569954,G39336,Compatible,2551,0.06%,0.99%,1,,
556932675,74108144911,G39336,Compatible,2286,0.05%,0.99%,1,,
556978103,43194178292,G39336,Compatible,2228,0.05%,0.99%,1,,
5947855,71603055827,G39336,Compatible,1784,0.04%,0.99%,1,,
557494823,731855023035,G39336,Compatible,1741,0.04%,0.99%,1,,
556390976,735282157691,G39336,Compatible,1691,0.04%,0.99%,1,,
556317673,681131149761,G39336,Compatible,1662,0.04%,0.99%,1,,
563410349,11017569886,G39336,Compatible,1463,0.03%,0.99%,1,,
552453313,48341007784,G39336,Compatible,1327,0.03%,0.99%,1,,
555135081,71534129239,G39336,Compatible,1310,0.03%,0.99%,1,,
553404779,71400019428,G39336,Compatible,1148,0.03%,0.99%,1,,
551732860,812713016656,G39336,Compatible,1086,0.02%,0.99%,1,,
2677828,735282431012,G39336,Compatible,947,0.02%,0.99%,1,,
556735776,42825674103,G39336,Compatible,908,0.02%,0.99%,1,,
551841778,841058007210,G39336,Compatible,873,0.02%,0.99%,1,,
554566291,43194380640,G39336,Compatible,872,0.02%,0.99%,1,,
551679527,71534129222,G39336,Compatible,853,0.02%,0.99%,1,,
293399,19663006533,G39336,Compatible,782,0.02%,0.99%,1,,
554728854,43194178360,G39336,Compatible,775,0.02%,0.99%,1,,
556682025,72151458559,G39336,Compatible,761,0.02%,0.99%,1,,
554566144,43194382057,G39336,Compatible,758,0.02%,0.99%,1,,
554032204,817243037621,G39336,Compatible,747,0.02%,0.99%,1,,
556625188,72151459655,G39336,Compatible,727,0.02%,0.99%,1,,
551394824,74451815100,G39336,Compatible,704,0.02%,0.99%,1,,
563032434,11017569671,G39336,Compatible,673,0.02%,0.99%,1,,
554919955,72902004233,G39336,Compatible,672,0.02%,0.99%,1,,
554617642,58185001152,G39336,Compatible,566,0.01%,0.99%,1,,
557097857,681131156301,G39336,Compatible,534,0.01%,0.99%,1,,
278781,841058015000,G39336,Compatible,509,0.01%,0.99%,1,,
564801969,681131171380,G39336,Compatible,508,0.01%,0.99%,1,,
553458748,888510759461,G39336,Compatible,435,0.01%,0.99%,1,,
554439517,86694285893,G39336,Compatible,431,0.01%,0.99%,1,,
555937390,79625014624,G39336,Compatible,419,0.01%,0.99%,1,,
555287904,50036331364,G39336,Compatible,249,0.01%,0.99%,1,,
564740489,799366240051,G39336,Compatible,205,0.00%,0.99%,1,,
557097863,681131156387,G39336,Compatible,195,0.00%,0.99%,1,,
556735795,42825674226,G39336,Compatible,147,0.00%,0.99%,1,,
554617625,58185001350,G39336,Compatible,49,0.00%,0.99%,1,,
550247191,883096416104,G39336,Compatible,26,0.00%,0.99%,1,,
4039775,23185675719,G39336,Compatible,24,0.00%,0.99%,1,,
552459239,47400097728,G2215,Compatible,2649,0.06%,0.57%,1,,
555055990,22200954563,G2215,Compatible,2602,0.06%,0.57%,1,,
552305466,79400223364,G2215,Compatible,2037,0.05%,0.57%,1,,
553673691,12044041192,G2215,Compatible,2025,0.05%,0.57%,1,,
551941549,79400086365,G2215,Compatible,1805,0.04%,0.57%,1,,
555055992,22200960144,G2215,Compatible,1769,0.04%,0.57%,1,,
554127834,79400535764,G2215,Compatible,1719,0.04%,0.57%,1,,
552370757,79400086181,G2215,Compatible,1574,0.04%,0.57%,1,,
552308722,79400351814,G2215,Compatible,1441,0.03%,0.57%,1,,
556132396,12044041185,G2215,Compatible,1233,0.03%,0.57%,1,,
552412874,47400307308,G2215,Compatible,1147,0.03%,0.57%,1,,
552459241,47400097872,G2215,Compatible,1106,0.03%,0.57%,1,,
552370940,12044015728,G2215,Compatible,1079,0.02%,0.57%,1,,
554118764,79400554734,G2215,Compatible,959,0.02%,0.57%,1,,
210986,19045053834,G2215,Compatible,925,0.02%,0.57%,1,,
553336425,47400654020,G2215,Compatible,811,0.02%,0.57%,1,,
554780473,86800110323,G2215,Compatible,12,0.00%,0.57%,1,,
550233555,672935102472,G39114,Compatible,5151,0.12%,0.42%,1,,
275486,300410825737,G39114,Compatible,2227,0.05%,0.42%,1,,
219387,47400300415,G39114,Compatible,1767,0.04%,0.42%,1,,
4084545,72140006389,G39114,Compatible,1417,0.03%,0.42%,1,,
551079823,300410101114,G39114,Compatible,1169,0.03%,0.42%,1,,
555998581,35000449931,G39114,Compatible,1105,0.03%,0.42%,1,,
555222994,18515016058,G39114,Compatible,1085,0.02%,0.42%,1,,
556566478,681131149143,G39114,Compatible,905,0.02%,0.42%,1,,
260045146,75020016867,G39114,Compatible,884,0.02%,0.42%,1,,
550134886,70330726550,G39114,Compatible,638,0.01%,0.42%,1,,
5947326,41554239423,G39114,Compatible,459,0.01%,0.42%,1,,
556778173,681131148061,G39114,Compatible,410,0.01%,0.42%,1,,
557060070,681131148047,G39114,Compatible,380,0.01%,0.42%,1,,
